renda_mensal,score_credito,tempo_emprego,inadimplente_passado,num_produtos,tipo_cliente,valor_aprovado
5993.428306022465,582.4821725025619,3.3181165307975946,0,4,PF,28468.523340550233
4723.47139765763,635.5481329284482,0.44635890432634356,0,3,PF,29783.935165344286
6295.377076201385,570.7580079000039,17.96083130004628,0,3,PF,23921.78724429436
8046.059712816051,619.203847036096,3.6491640351242474,0,3,PJ,38593.69291376376
4531.693250553328,460.63853330462143,4.762002620964084,0,2,PF,17287.40447303842
4531.726086101638,671.3293707372939,1.3499297670397967,0,4,PF,11344.540265254309
8158.425631014783,650.1205475362224,3.303381414942359,0,2,PF,8962.651620867582
6534.869458305818,568.2911368931809,2.8031395544308073,0,4,PF,20215.025961734522
4061.0512281300958,715.9245668432405,0.38924472283941136,0,1,PJ,5539.914737632771
6085.120087171929,743.7570137626558,0.5611444314044407,0,5,PF,16876.36023807818
4073.1646143750754,489.2440135631026,9.084540907357626,0,3,PF,28164.237746718023
4068.540492859486,573.7275221433786,1.3709998438399396,0,9,PF,29036.882955572306
5483.924543132068,573.0857650212702,1.0843058312969118,0,5,PF,25822.227760637525
1173.439510684404,556.0096898891136,3.5150932302417464,0,4,PJ,39463.81427844887
1550.1643349739343,732.9474841931749,7.3212174887384,0,3,PF,12941.215216364386
3875.4249415180548,630.6173861227196,0.3197415758048822,0,5,PJ,39971.94793056089
2974.3377593311525,623.5485158689389,4.299645561570667,0,4,PF,13635.021843085775
5628.4946651905475,449.61376355932464,0.6346827486498934,0,2,PF,24264.928824038376
3183.9518489575785,713.5418030209227,0.18571183634875682,0,7,PF,26272.50465666538
2175.392597329417,526.0741605146527,0.2709292223847981,1,4,PF,15206.370372294972
7931.297537843107,655.9932630266328,8.98378291640906,0,3,PF,27202.955929967553
4548.447399026929,677.7376937958192,0.6276601288068672,0,1,PF,24081.494090471057
5135.056409375848,786.0658595838651,0.23101223915072286,0,1,PF,26849.392322300147
2150.5036275730863,519.1179600880888,2.8803765409826503,0,2,PF,2494.568814770615
3911.2345509496345,348.0487844179175,9.289287130413296,1,2,PF,23564.92153553502
5221.845179419732,668.3849544753695,1.5218248160799044,0,4,PJ,22876.774706853947
2698.012845155394,830.0511181510853,2.738421661806102,0,3,PF,13047.994377483805
5751.396036691344,773.8946352939438,0.2037065126492444,1,4,PF,24237.67647929422
3798.72262016239,670.9659415274626,2.9808148693756924,0,6,PF,31199.749698133553
4416.6125004134465,600.8363814367953,4.309167572435212,0,2,PJ,34194.39103266213
3796.5867755412064,730.7122596637311,4.230408628003247,1,5,PF,23444.83973622613
8704.556369017875,552.6453800295532,2.020530351400584,0,1,PF,15927.552288998744
4973.005550524133,697.635776935622,1.8955755486777095,0,4,PF,19970.389889268587
2884.5781420881995,700.5470159166626,0.5637365377439869,0,2,PF,1000.0
6645.089824206378,756.0209907498879,2.2848314940464514,0,5,PF,20632.391109813143
2558.3127000579557,850.0,0.5239959709907936,0,2,PJ,16697.142537647276
5417.727190009511,689.2415967178767,7.2749209221968485,1,4,PF,22644.836128945215
1080.659752240449,599.1036374292502,16.947475271097957,0,2,PF,43518.88896022232
2343.627902203139,647.4425687808006,17.545214356009524,0,6,PJ,44421.388200244146
5393.722471738247,473.09240951108814,10.015036506594138,1,2,PF,1000.0
6476.933159990821,580.5286868910941,4.591365343776415,0,1,PJ,19288.00775353002
5342.7365623799415,609.0717561886896,6.0343131667104855,0,2,PJ,21218.836456598445
4768.703435223519,597.5911602065407,1.6788030681875032,0,3,PF,5234.141487769328
4397.792608821423,665.2354872033721,4.981683304268637,1,2,PF,14982.268700111435
2042.9560192651452,567.7580067617799,3.0408101447615032,1,4,PF,16435.85116879466
3560.3115832105827,762.1030667324471,3.2890675587788962,0,2,PF,8879.377811024628
4078.722458080425,650.0207064918197,7.0894733728686665,0,2,PF,20501.029462617167
7114.244452437832,649.0699678861386,1.6558600276558297,0,4,PF,30581.35973074954
5687.236579136923,617.2105283487082,1.9139185224449948,1,1,PF,24642.210956355615
1473.9196892745322,665.5190683858979,12.927512083135063,0,1,PF,20661.80827582975
5648.16793878959,732.5098264667635,0.28933370772913336,0,4,PF,29554.03067785165
4229.835439167367,563.28697842891,3.3241039241198522,1,3,PF,16623.628395540454
3646.155999388083,584.1883510924744,12.19780063549285,0,8,PF,18710.209364673945
6223.352577681736,619.6273971223335,4.7126988129455,0,1,PJ,26494.948961652208
7061.999044991902,515.4129076526785,3.952775611979838,0,4,PF,14412.762063142593
6862.560238232397,568.0742140278502,1.4367051812518892,0,2,PF,40052.05715595543
3321.5649535547227,602.3779126455341,2.102453310392968,0,2,PF,4747.694817124049
4381.575248297571,737.4389180712727,9.554350962767268,1,3,PF,30393.510315285952
5662.526862807128,676.2561329001925,4.096025778827216,0,4,PF,12259.552028743175
6951.090254244718,669.3589911367544,3.6153748500393164,0,3,PJ,45560.17773633481
4041.65152430942,735.0897962167973,0.524468198529216,0,4,PF,33269.37017330683
4628.682046672366,636.2628211600603,0.08078998311470881,0,5,PF,35969.07584849755
2787.3300519879435,689.046484992889,16.577647978903975,0,5,PF,16304.136490432187
2607.5867518386585,639.6778247067504,2.3659327852463403,0,2,PF,20291.306014372956
6625.0516447883965,676.5362349399628,4.621779113553947,1,5,PF,18685.144550253448
7712.480057141645,591.7241342388418,0.4153597691492223,0,3,PF,18609.519435603626
4855.979756839332,406.1182841723571,5.746070464472279,0,5,PF,24681.82281865516
7007.0657957840485,636.5720837813695,13.48308223448412,0,3,PF,38754.657351746515
5723.272050095268,792.274813609994,4.2861631879595805,1,6,PF,19226.03873354461
3709.760490789751,742.6215402241593,0.6740342991521535,0,1,PF,23381.890184833428
5722.791211016828,746.539748459117,4.358039330275023,0,1,PF,15663.411664214922
8076.073132931939,773.6130721806218,7.269595411285781,0,4,PF,22551.682869344382
4928.347921780097,658.8657590961437,2.6078872281344023,1,3,PF,15711.315113131188
8129.2873116280125,669.7315707405595,10.594561744885315,0,7,PF,33390.743802694415
1000.0,588.234810456565,5.230330982140458,0,2,PF,22871.08819475772
6643.805008750448,618.392714397295,11.475511708146918,0,1,PF,14683.680033216484
5174.094136476342,711.5771149771142,4.8842566937016505,0,2,PF,46179.76481644677
4401.985299068265,770.3884437168816,0.7037179592046167,0,3,PF,5659.82664520507
5183.521553071005,636.0553724319001,1.853084928372473,0,2,PF,25225.93629127439
1024.8621707982143,604.9810735148588,1.1269487873151105,0,3,PF,13322.268687237873
4560.656224324976,650.0527958856597,11.97495484629651,1,3,PJ,24553.468463886453
5714.225143023493,710.1206748929114,7.143923467867238,1,1,PJ,28446.247525991646
